year,month,day,SOI,SAM,PDO,NPGO,ENSO
1957,1,1,0.6,-0.87,-1.31,-1.27,-0.2
1957,2,1,-0.1,-2.27,-1.57,-1.96,0.1
1957,3,1,0.2,0.07,-0.83,-1.34,0.4
1957,4,1,0.2,-1.97,-0.81,-1.26,0.7
1957,5,1,-0.7,-2.5,-0.02,-1.04,0.9
1957,6,1,0.2,-0.87,1.53,-1.17,1.1
1957,7,1,0.2,1,0.59,-0.76,1.3
1957,8,1,-0.5,-1.73,0.34,-0.91,1.3
1957,9,1,-0.9,0.72,1.84,-0.92,1.3
1957,10,1,0,-3.12,1.72,-1.03,1.4
1957,11,1,-1,-5.42,1.54,-1.41,1.5
1957,12,1,-0.3,-2.63,0.46,-0.72,1.7
1958,1,1,-1.9,0.04,0.83,0.12,1.8
1958,2,1,-0.5,-2.84,0.94,0.15,1.7
1958,3,1,0.3,-2.52,0.62,-1.15,1.3
1958,4,1,0.4,-0.3,0.56,-0.72,0.9
1958,5,1,-0.5,-2.72,1.46,-0.85,0.7
1958,6,1,0.3,-0.97,1.82,-0.72,0.6
1958,7,1,0.4,-1.65,0.61,-0.87,0.6
1958,8,1,0.9,0.97,1.06,-0.63,0.4
1958,9,1,-0.3,1.9,0.77,-0.2,0.4
1958,10,1,0.1,-0.16,0.28,-0.51,0.4
1958,11,1,-0.4,0.3,0.28,-0.77,0.5
1958,12,1,-0.6,0.82,1.14,-0.41,0.6
1959,1,1,-0.9,1.59,1.04,0.12,0.6
1959,2,1,-1.4,-0.19,0.35,-0.59,0.6
1959,3,1,1.3,-0.54,-0.14,-0.39,0.5
1959,4,1,0.4,-1.25,-0.16,-0.45,0.3
1959,5,1,0.5,-0.32,-0.13,-0.44,0.2
1959,6,1,-0.1,-1.12,0.23,-0.37,-0.1
1959,7,1,-0.3,0.18,-0.42,-0.4,-0.2
1959,8,1,-0.1,-1.64,-0.31,-0.5,-0.3
1959,9,1,0,2.46,-0.53,0.07,-0.1
1959,10,1,0.5,-0.46,0.96,0.13,0
1959,11,1,0.9,3.28,1.38,-0.05,0
1959,12,1,0.9,-0.38,1.02,0.42,0
1960,1,1,0.1,0.9,0.24,1.02,-0.1
1960,2,1,0.1,0.85,0.61,0.82,-0.1
1960,3,1,1,3.4,0.23,0.86,-0.1
1960,4,1,0.8,-0.35,0.21,0.79,0
1960,5,1,0.5,-0.6,0.35,0.92,0
1960,6,1,0.1,-0.17,1.2,0.31,0
1960,7,1,0.5,0.31,-0.42,0.71,0.1
1960,8,1,0.8,0.43,-0.31,0.44,0.2
1960,9,1,0.7,1.41,-0.96,0.52,0.3
1960,10,1,0.1,-1.17,-0.34,0.49,0.2
1960,11,1,0.5,1.18,-0.34,0.95,0.1
1960,12,1,0.8,1.36,0,1.14,0.1
1961,1,1,-0.3,0.91,0.89,1.1,0
1961,2,1,0.9,-4,0.92,1.36,0
1961,3,1,-1.8,-0.4,0.64,1.75,0
1961,4,1,0.8,-0.14,0.28,0.96,0.1
1961,5,1,0.3,1.12,-0.54,1.4,0.2
1961,6,1,0.1,-0.4,-0.7,1.2,0.3
1961,7,1,0.2,0.98,-1.23,1.06,0.1
1961,8,1,0.2,1.1,-0.87,1.07,-0.1
1961,9,1,0.1,-1.21,-1.34,0.77,-0.3
1961,10,1,-0.3,1.64,-1.78,0.35,-0.3
1961,11,1,0.5,1.52,-1.43,0.22,-0.2
1961,12,1,1.5,2.32,-1.73,0.4,-0.2
1962,1,1,2,2.34,-1,0.17,-0.2
1962,2,1,-0.3,-0.5,-0.87,-0.15,-0.2
1962,3,1,0.1,-0.66,-1.06,-0.61,-0.2
1962,4,1,0.2,1.65,-0.95,-0.47,-0.3
1962,5,1,1.1,-0.66,-1.3,-0.74,-0.3
1962,6,1,0.7,-3.41,-1.71,-0.3,-0.2
1962,7,1,0.1,0.33,-1.83,-0.06,0
1962,8,1,0.6,-0.2,-0.66,-0.37,-0.1
1962,9,1,0.4,-0.15,-1.47,0.33,-0.1
1962,10,1,1,-0.36,-1.76,0.16,-0.2
1962,11,1,0.3,-2.25,-0.38,0.45,-0.3
1962,12,1,0.2,1.35,-0.23,0.47,-0.4
1963,1,1,1,3.26,0.12,-0.81,-0.4
1963,2,1,0.6,1.41,0.15,-0.28,-0.2
1963,3,1,1.1,2.03,-0.28,-1.1,0.2
1963,4,1,0.8,1.41,-0.27,-0.81,0.3
1963,5,1,0.4,-1.09,-1.26,-0.43,0.3
1963,6,1,-0.5,1.82,-0.6,-0.72,0.5
1963,7,1,-0.1,0.41,-1.11,-0.37,0.9
1963,8,1,0,-5.03,-1.01,-0.13,1.1
1963,9,1,-0.6,-1.59,1.08,0.12,1.2
1963,10,1,-1.2,2.05,0.34,0.51,1.3
1963,11,1,-0.8,1.02,-0.5,0.66,1.4
1963,12,1,-1.2,-0.04,0.45,0.54,1.3
1964,1,1,-0.4,-3.29,0.34,1.07,1.1
1964,2,1,0,-1,0.21,0.29,0.6
1964,3,1,1.1,-1.52,-0.71,0.35,0.1
1964,4,1,1.1,0.63,-1.27,0.25,-0.3
1964,5,1,0.2,2.38,-2.39,0.27,-0.6
1964,6,1,0.8,-4.14,-0.86,0.88,-0.6
1964,7,1,0.6,-6.15,-1.08,1.6,-0.6
1964,8,1,1.5,-2.26,-1.6,0.78,-0.7
1964,9,1,1.3,1.61,-1.35,0.91,-0.8
1964,10,1,1.3,0.34,-0.64,0.71,-0.8
1964,11,1,0.2,-3.34,-0.68,0.07,-0.8
1964,12,1,-0.3,-1.49,-0.62,-0.68,-0.8
1965,1,1,-0.4,-0.46,-0.95,-0.61,-0.6
1965,2,1,0.4,-7.65,-0.61,-0.84,-0.3
1965,3,1,0.8,-1.58,-0.17,-0.94,-0.1
1965,4,1,-0.5,-0.49,-0.01,-0.88,0.2
1965,5,1,0.2,-2.08,-0.66,-1.16,0.5
1965,6,1,-0.6,1.89,-0.76,-0.83,0.8
1965,7,1,-1.8,0.08,-0.74,-0.69,1.2
1965,8,1,-0.7,0.08,0.32,-0.44,1.5
1965,9,1,-1.3,0.22,0.83,-0.86,1.9
1965,10,1,-0.9,1.91,0.3,-0.68,2
1965,11,1,-1.5,1.71,0.47,-0.92,2
1965,12,1,0.2,-1.48,0.25,-1.19,1.7
1966,1,1,-1.3,0.59,-0.67,-0.32,1.4
1966,2,1,-0.2,-2.94,-0.43,-1.11,1.2
1966,3,1,-0.9,-2.81,-1,-0.6,1
1966,4,1,-0.2,-0.49,-0.37,-1.37,0.7
1966,5,1,-0.4,-1.66,-0.76,-1.68,0.4
1966,6,1,0.3,0.53,0.1,-1.26,0.2
