Year,Total,Clus1,Clus2,Clus3,Clus4,Clus5
1969,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA
1973,100,100,100,41.19446647,50.13814438,43.24417867
1974,78.19968919,22.31038328,68.69859337,41.83117073,60.61450292,24.44880033
1975,NA,NA,NA,NA,NA,NA
1976,62.06016773,25.01995436,56.97012026,20.6856137,45.4870655,90.84258069
1977,24.81040109,0,24.29454451,14.58164365,16.16181121,6.975884146
1978,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA
1982,21.12260434,0,15.20965482,12.66123066,20.63069556,26.20118093
1983,NA,NA,NA,NA,NA,NA
1984,35.00842415,0,5.986573175,23.89683846,62.16492798,18.57916089
1985,79.87100845,0,32.6809193,100,89.7941348,6.882498379
1986,23.09274991,0,9.701692277,41.65402134,18.52727111,4.315619638
1987,NA,NA,NA,NA,NA,NA
1988,40.87121971,0,9.215047901,37.99374874,63.53867887,15.18393662
1989,53.55920028,0,6.17038358,72.10009466,79.40050639,8.203088
1990,76.14249996,0,44.95584479,84.51782946,65.38779649,100
1991,25.47295045,0,6.512398799,71.94689238,12.23158548,0
1992,22.44924493,0,16.50359473,19.04022845,17.47894536,37.11891292
1993,NA,NA,NA,NA,NA,NA
1994,42.17911346,0,2.993714745,48.1461636,70.13875295,1.718143088
1995,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA
1997,58.1762702,0,28.3135493,69.71244208,60.13796735,4.539869212
1998,5.245465404,0,4.844519502,7.643318819,1.050405343,1.28042854
1999,33.03978051,0,2.531965489,30.99988046,58.472332,14.79941956
2000,NA,NA,NA,NA,NA,NA
2001,48.01407556,0,32.26455522,44.47546088,43.36378559,26.87515438
2002,60.79012933,0,43.69564168,43.44861665,57.40281062,43.34463212
2003,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA
2005,34.07392102,0,0.976052563,31.88971101,62.91796543,16.98520534
2006,45.0147203,0,3.510584684,46.83131078,77.00213468,24.26264213
2007,15.91294697,0,5.352855355,22.02769358,18.69796797,1.526296849
2008,49.00814951,0,4.344281555,70.25904488,69.58254779,75.11063892
2009,25.30764269,0,2.761666928,32.35449495,39.71914057,0
2010,25.38775016,0,6.10458611,40.06934226,30.20052257,9.736637552
2011,67.22248871,0,7.874355654,85.13516392,100,73.08548387
2012,44.62738062,0,10.39972721,71.51002505,49.0049843,71.76217527
2013,36.25418363,0,9.722891889,41.37390644,50.24116857,16.40546214
2014,43.24970677,0,12.38699768,47.84147369,57.11800841,58.07757449
2015,13.039634,0,1.806942991,18.55056287,17.62153259,18.55155692
2016,16.81564358,0,1.003733779,23.09536903,26.34939313,5.196596431
2017,34.11112552,0,9.856505313,24.74326599,54.11698426,15.76825045
2018,43.67849673,0,3.499660859,20.38149665,86.49232202,63.19708443
2019,46.55246686,0,1.302900895,37.03472977,88.29822826,49.38756526
2020,42.10334369,0,9.579293457,25.27208732,72.81953093,32.69179252
2021,48.10535683,0,9.141864807,31.69105732,81.85276038,76.06960545
