FID,MEAN,COUNT,AREA
0,14.49934094,120,108000
1,14.49801386,226,203400
2,14.51675919,270,243000
3,14.29648199,248,223200
4,14.22454436,230,207000
5,16.27879189,335,301500
6,16.19315325,326,293400
7,16.20434626,302,271800
8,16.49260359,348,313200
9,16.58802583,96,86400
10,16.5877874,75,67500
11,16.35481166,113,101700
12,16.19101416,115,103500
13,15.99171817,176,158400
14,15.84196581,189,170100
15,15.94405587,319,287100
16,15.63849805,348,313200
17,15.75331716,350,315000
18,15.43358954,286,257400
19,15.55459117,258,232200
20,15.71263291,76,68400
21,14.51891736,205,184500
22,14.31936366,299,269100
23,14.4180367,377,339300
24,14.64440101,335,301500
25,14.47326058,325,292500
26,14.66500115,340,306000
27,14.06672944,340,306000
28,14.34248082,339,305100
29,14.00454281,409,368100
30,14.03528723,349,314100
31,13.99247636,229,206100
32,13.99996027,373,335700
33,13.99028852,346,311400
34,13.96688406,344,309600
35,13.9393264,276,248400
36,16.28936012,312,280800
37,16.64021885,315,283500
38,16.15005215,352,316800
39,16.04021899,333,299700
40,16.04792934,355,319500
41,16.74045477,511,459900
42,16.86968457,307,276300
43,16.36061878,371,333900
44,16.88645751,226,203400
45,16.04943704,302,271800
46,16.46689521,358,322200
47,15.7795011,370,333000
48,16.23117003,340,306000
49,15.53007435,327,294300
50,16.15729778,292,262800
51,15.95465636,334,300600
52,15.41136546,224,201600
53,15.59605179,415,373500
54,15.85108539,267,240300
55,15.57715949,101,90900
56,14.26233062,326,293400
57,14.49190586,256,230400
58,14.1745005,359,323100
59,14.30078122,339,305100
60,14.66046799,337,303300
61,14.16473858,352,316800
62,14.67471631,326,293400
63,14.33613373,161,144900
64,14.11290313,384,345600
65,14.47121177,314,282600
66,14.44926537,356,320400
67,14.17444186,347,312300
68,14.11047283,350,315000
69,14.32756665,234,210600
70,14.04687648,381,342900
71,14.05221085,447,402300
72,13.95567456,321,288900
73,13.87783647,452,406800
74,16.32718882,305,274500
75,16.59309351,271,243900
76,15.94829432,350,315000
77,15.81376933,336,302400
78,15.96469276,380,342000
79,17.22153624,150,135000
80,17.26842817,3,2700
81,15.90557916,318,286200
82,16.83269183,24,21600
83,15.69876735,339,305100
84,16.64394232,35,31500
85,15.54541585,355,319500
86,16.59057224,49,44100
87,16.26682493,9,8100
88,15.28793171,301,270900
89,15.36767796,291,261900
90,16.38295774,87,78300
91,15.50319522,426,383400
92,15.95477957,228,205200
93,15.52088344,190,171000
94,14.26677185,321,288900
95,13.85248959,320,288000
96,14.44142958,315,283500
97,14.13389993,376,338400
98,14.68563163,324,291600
99,14.24062648,344,309600
100,14.51901314,237,213300
101,14.8738869,302,271800
102,14.40792786,255,229500
103,14.22932831,339,305100
104,14.07979974,374,336600
105,14.30281597,313,281700
106,14.8411292,352,316800
107,14.71506782,308,277200
108,14.79464746,71,63900
109,14.21060512,325,292500
110,14.34629333,366,329400
111,14.39443217,321,288900
112,14.1792837,445,400500
113,14.11796123,364,327600
114,14.16566334,327,294300
115,14.01677296,460,414000
116,13.88350884,331,297900
117,16.40276371,298,268200
118,16.37019152,327,294300
119,16.27619775,110,99000
120,16.40690215,323,290700
121,15.69368113,157,141300
122,15.72354929,178,160200
123,15.61944149,275,247500
124,14.55235809,284,255600
125,14.58889315,215,193500
126,14.55028546,347,312300
127,14.72568247,347,312300
128,14.34259555,336,302400
129,14.31773686,326,293400
130,13.95667171,348,313200
131,13.94959974,294,264600
132,13.9569398,215,193500
133,13.94286763,172,154800
134,13.98177399,152,136800
135,15.71248529,69,62100
136,15.30572849,266,239400
137,15.28681587,262,235800
138,15.17758912,526,473400
139,15.21481619,225,202500
140,15.19295682,212,190800
141,14.82056887,253,227700
142,15.62172973,329,296100
144,14.72871008,268,241200
145,15.64646622,359,323100
146,14.49874351,345,310500
147,14.56210459,252,226800
148,14.53615952,139,125100
149,14.40670809,296,266400
150,15.73044032,245,220500
151,15.16812134,1,900
152,16.03909213,114,102600
153,14.66926887,328,295200
154,15.51678375,387,348300
155,14.52629141,432,388800
156,14.4247208,295,265500
157,14.26591664,261,234900
158,15.24707726,157,141300
159,14.40458302,242,217800
160,16.58897854,76,68400
161,15.08224307,86,77400
162,14.55699405,276,248400
163,14.60623423,203,182700
164,14.69121397,268,241200
165,14.64103224,365,328500
166,15.06145086,213,191700
167,16.42060039,306,275400
168,14.60667018,735,661500
169,16.24599432,571,513900
170,16.1681871,390,351000
171,15.80290435,138,124200
172,15.53546733,160,144000
173,15.28730648,563,506700
174,15.14315821,155,139500
175,15.21549827,16,14400
176,14.66505683,292,262800
177,14.46942244,303,272700
178,14.36907469,452,406800
179,14.12519239,726,653400
180,13.90380657,384,345600
181,13.81271509,132,118800
182,14.0733215,116,104400
183,13.87341197,318,286200
184,14.10337333,424,381600
185,15.04080906,107,96300
186,14.64568659,588,529200
187,13.82826345,392,352800
188,14.23875408,367,330300
189,16.2987299,2,1800
190,13.83404312,461,414900
191,15.86002854,367,330300
192,15.73243053,356,320400
193,15.67736349,354,318600
194,15.68598156,353,317700
195,16.31002504,81,72900
196,15.68388922,136,122400
197,15.70441542,223,200700
198,15.87234978,361,324900
199,16.46113735,200,180000
200,16.43123056,160,144000
201,16.49174745,167,150300
202,16.40811906,307,276300
203,16.67909671,264,237600
204,16.58634483,308,277200
205,16.48338768,397,357300
206,16.9492686,270,243000
207,16.90422554,274,246600
208,15.33699179,362,325800
209,14.03550387,272,244800
210,14.17990776,83,74700
211,14.22475568,130,117000
212,14.28980598,207,186300
213,14.1834118,255,229500
214,16.1698485,326,293400
215,17.28497569,78,70200
216,17.33405814,67,60300
217,17.30293591,125,112500
218,16.98832354,63,56700
219,15.33382588,369,332100
220,14.10076409,284,255600
221,14.29729621,407,366300
222,14.18796806,328,295200
223,16.50099258,230,207000
224,16.49846223,287,258300
225,13.95524419,208,187200
226,15.68638604,30,27000
227,14.93423143,132,118800
231,17.2570982,2,1800
232,16.51192744,29,26100
233,16.39500256,89,80100
235,13.73731147,81,72900
236,16.13308444,305,274500
237,16.04298763,60,54000
