FID,MEAN,COUNT,AREA,MEAN
0,5.409374475,2,0.0000125,5.409374475
1,5.439229202,5,0.00003125,5.439229202
2,5.546075916,5,0.00003125,5.546075916
3,5.546754599,4,0.000025,5.546754599
4,5.711414242,5,0.00003125,5.711414242
5,6.122008642,6,0.0000375,6.122008642
6,6.327453709,5,0.00003125,6.327453709
7,6.405976375,6,0.0000375,6.405976375
8,6.219543457,6,0.0000375,6.219543457
9,6.428874969,1,0.00000625,6.428874969
10,6.476678371,2,0.0000125,6.476678371
11,6.509107113,1,0.00000625,6.509107113
12,6.492442449,3,0.00001875,6.492442449
13,6.455750346,4,0.000025,6.455750346
14,6.425556342,3,0.00001875,6.425556342
15,6.260824521,6,0.0000375,6.260824521
16,6.510913054,6,0.0000375,6.510913054
17,6.111391962,8,0.00005,6.111391962
18,6.534380674,6,0.0000375,6.534380674
19,6.386472034,5,0.00003125,6.386472034
20,6.101487398,2,0.0000125,6.101487398
21,5.236697038,3,0.00001875,5.236697038
22,5.361454964,5,0.00003125,5.361454964
23,5.594341815,8,0.00005,5.594341815
24,5.245673021,6,0.0000375,5.245673021
25,5.784674883,6,0.0000375,5.784674883
26,5.207193307,7,0.00004375,5.207193307
27,5.880840029,7,0.00004375,5.880840029
28,5.312073326,5,0.00003125,5.312073326
29,6.015418649,8,0.00005,6.015418649
30,5.523761341,7,0.00004375,5.523761341
31,6.125558058,3,0.00001875,6.125558058
32,5.775387943,8,0.00005,5.775387943
33,5.902288278,6,0.0000375,5.902288278
34,6.115892013,6,0.0000375,6.115892013
35,6.122251606,5,0.00003125,6.122251606
36,6.057919693,5,0.00003125,6.057919693
37,5.580106258,6,0.0000375,5.580106258
38,6.292800018,7,0.00004375,6.292800018
39,6.422355039,7,0.00004375,6.422355039
40,6.483776867,8,0.00005,6.483776867
41,5.412947611,11,0.00006875,5.412947611
42,6.123185237,6,0.0000375,6.123185237
43,6.519575255,7,0.00004375,6.519575255
44,6.355837073,7,0.00004375,6.355837073
45,6.561491251,4,0.000025,6.561491251
46,6.342898548,8,0.00005,6.342898548
47,6.563283205,8,0.00005,6.563283205
48,5.984975747,7,0.00004375,5.984975747
49,6.602979302,8,0.00005,6.602979302
50,5.768984454,7,0.00004375,5.768984454
51,5.990871334,5,0.00003125,5.990871334
52,6.524744352,3,0.00001875,6.524744352
53,6.237761557,8,0.00005,6.237761557
54,5.781465213,6,0.0000375,5.781465213
55,5.96723032,2,0.0000125,5.96723032
56,5.315304136,10,0.0000625,5.315304136
57,5.211650562,5,0.00003125,5.211650562
58,5.544627598,7,0.00004375,5.544627598
59,5.706953684,6,0.0000375,5.706953684
60,5.17242166,7,0.00004375,5.17242166
61,5.887716634,7,0.00004375,5.887716634
62,5.134511948,6,0.0000375,5.134511948
63,6.548855941,6,0.0000375,6.548855941
64,6.008740698,7,0.00004375,6.008740698
65,5.011181899,7,0.00004375,5.011181899
