FID,MEAN,COUNT,AREA
0,80566,8,103657.76
1,80576.33333,15,194358.3
2,80593.73684,19,246187.18
3,80604.3125,16,207315.52
4,80606,17,220272.74
5,84473.31818,22,285058.84
6,84679.69565,23,298016.06
7,83695.33333,21,272101.62
8,84681.82609,23,298016.06
9,81719.88889,9,116614.98
10,81717.25,4,51828.87999
11,84283.85714,7,90700.53999
12,84381,9,116614.98
13,84725.57143,14,181401.08
14,84726.54545,11,142529.42
15,91838.57143,21,272101.62
16,84735.91304,23,298016.06
17,84765.16667,24,310973.28
18,84768.5,20,259144.4
19,84773.66667,18,233229.96
20,84774.5,4,51828.87999
21,80289,16,207315.52
22,80286.9,20,259144.4
23,84878.69231,26,336887.72
24,80518.08,25,323930.5
25,84622,22,285058.84
26,80567.52174,23,298016.06
27,80355.91667,24,310973.28
28,80594.26087,23,298016.06
29,80531.89655,29,375759.38
30,80607.20833,24,310973.28
31,80490.38095,21,272101.62
32,80621.11538,26,336887.72
33,80642.92308,26,336887.72
34,80654.4,20,259144.4
35,80659.3,20,259144.4
36,84574,22,285058.84
37,84573.90909,22,285058.84
38,84624.77778,27,349844.94
39,84680.22727,22,285058.84
40,82194.04,25,323930.5
41,84660.28205,39,505331.5799
42,84683.6,25,323930.5
43,81716,26,336887.72
44,82050.22222,27,349844.94
45,83813.85,20,259144.4
46,84715.22222,27,349844.94
47,84725.13793,29,375759.38
48,86221.84,25,323930.5
49,84730,21,272101.62
50,90682.22727,22,285058.84
51,84769.08333,24,310973.28
52,84774,15,194358.3
53,84782.57143,28,362802.16
54,84787.78947,19,246187.18
55,84826.57143,7,90700.53999
56,80287.8,25,323930.5
57,80289,17,220272.74
58,83073.16667,24,310973.28
59,85060,25,323930.5
60,83546.95455,22,285058.84
61,81453.75,24,310973.28
62,80563.12,25,323930.5
63,80258,16,207315.52
64,80252,26,336887.72
65,80574.09524,21,272101.62
66,80597.15385,26,336887.72
67,80612.08333,24,310973.28
68,80465,24,310973.28
69,80617.25,16,207315.52
70,80628.53846,26,336887.72
71,80660.30303,33,427588.26
72,80651.43478,23,298016.06
73,80666.5625,32,414631.04
74,84574,22,285058.84
75,84573.91667,24,310973.28
76,84556.70833,24,310973.28
77,81847.47826,23,298016.06
78,81716,26,336887.72
79,84652.95238,21,272101.62
80,85352.57143,28,362802.16
81,82396.22727,22,285058.84
82,84603.17241,29,375759.38
83,84719.15,20,259144.4
84,84724.55556,27,349844.94
85,84729.30769,26,336887.72
86,89241.41379,29,375759.38
87,85341.75,32,414631.04
88,84776.7619,21,272101.62
89,84800.57143,21,272101.62
90,84783.24138,29,375759.38
91,84812.96667,30,388716.6
92,84817.36,25,323930.5
93,84838.78571,14,181401.08
94,80288.1,20,259144.4
95,82367.56522,23,298016.06
96,80710.21739,23,298016.06
97,85061.69231,26,336887.72
98,89625.72727,22,285058.84
99,83310.59091,22,285058.84
100,80258,16,207315.52
101,82784.7,20,259144.4
102,80258,17,220272.74
103,80252,24,310973.28
