FID,LSAT_SST,Fetch,Wind,Tidal_Current,Depth,Cluster,Y1973,Y1974,Y1976,Y1977,Y1982,Y1984,Y1985,Y1986,Y1988,Y1989,Y1990,Y1991,Y1992,Y1994,Y1997,Y1998,Y1999,Y2001,Y2002,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Zero_Years,Persistence
0,14.499,80566,5.409,0.146,4.310218978,4,5919.683096,37601.07786,0,7047.321061,632.9377758,33635.64984,74810.71159,1008.309749,39355.96434,72899.82688,73128.168,6499.924746,0,42426.00246,44010.49638,0,3915.316477,1094.985315,949.7332557,3352.268573,49670.0471,0,53.44914369,0,0,11398.93436,395.1537805,2640.745272,2211.123238,90.43047964,62.48514066,358.0159728,34345.20246,42866.77778,115.2414664,2995,6,30
1,14.498,80576.333,5.439,0.155,3.755424063,4,49312.75051,137234.2658,66511.46168,739.3102967,10515.67016,55024.20582,105992.8009,1875.96834,42565.34385,96857.20158,105152.0045,2311.995195,4098.145016,59137.63204,57639.40645,0,48179.39775,107983.116,49209.60237,55309.31755,78665.87928,11060.68469,137641.779,28989.66164,19510.01766,98140.6653,63773.90854,48738.27305,59621.78597,1370.057638,22542.77754,52683.57878,113978.0119,135421.7097,81806.7394,124004.6737,1,35
2,14.517,80593.737,5.546,0.164,3.658536585,4,62896.07556,105935.4802,23961.81899,0,3303.041686,39131.43041,58053.69942,17063.5895,59306.0447,182974.4393,196189.0979,31782.65615,24668.95073,145158.5908,156289.8585,0,175812.8891,97862.52618,149402.8612,125377.7813,176937.2422,98388.94029,133619.2424,122381.8594,74086.35532,194977.3606,151142.6859,82279.8356,89664.54665,2228.718078,7326,106554.1542,184232.5556,205806.912,164643.413,237330.5919,2,34
3,14.296,80604.313,5.547,0.167,4.161290323,4,96743.08855,81353.33702,46734.74644,7000.219156,1203.98351,21.85642298,681.492157,7479.206971,848.6438928,10670.22113,19313.53513,7899.988195,15187.33023,52422.39857,34518.08915,0,20440.3374,89466.78613,70294.24186,61616.8092,99494.95748,63320.27404,123915.9957,61354.09005,42947.26998,127196.0496,118228.9241,53028.23055,20486.38092,7646.593532,0,79238.89836,123908.2049,153091.9637,152892.7132,140765.3247,2,34
4,14.225,80606,5.711,0.17,5.676982592,3,705.1305274,9558.695392,17776.71917,0,0,1728.430517,21914.92263,26121.68215,0,27989.56086,17278.62406,5282.368847,4134.439533,8399.494737,31458.8475,0,26694.31823,15548.56274,33212.17736,36151.46453,48728.01729,21707.31072,40547.99685,7488.284873,11889.89108,116318.2926,82742.3214,27765.462,11542.72318,11733.85279,0,46995.91988,62097.089,125583.2937,94005.79058,52445.35864,5,31
5,16.279,84473.318,6.122,0.257,5.810991957,1,1316.633972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
6,16.193,84679.696,6.327,0.28,5.125511596,1,69940.34378,0,14509.70248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2
7,16.204,83695.333,6.406,0.287,3.807976366,1,163105.7241,50432.82015,18182.20937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3
8,16.493,84681.826,6.22,0.28,2.329032258,1,19967.65539,27401.78617,31029.83438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3
9,16.588,81719.889,6.429,0.282,1.423387097,2,4036.550053,4952.975341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2
10,16.588,81717.25,6.477,0.283,1.705202312,2,9687.285753,143.7833451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2
11,16.355,84283.857,6.509,0.282,3.447580645,2,80762.98911,73994.78893,57272.59774,0,0,0,0,0,0,0,3848.719772,0,0,0,885.3636068,0,0,1202.778914,35586.79165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7
12,16.191,84381,6.492,0.289,4.675889328,2,89804.8305,86364.74909,42052.52885,0,0,0,0,0,0,0,4498.540751,0,0,0,0,0,0,0,961.719895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5
13,15.992,84725.571,6.456,0.301,5.256038647,2,162732.1067,163989.7199,163391.0569,92110.60401,49129.08571,0,91769.30259,0,0,0,96262.23347,0,0,0,1914.10637,7430.056344,0,64994.47103,126659.1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3595.705725,0,24,12
14,15.842,84726.545,6.426,0.308,6.944976077,2,95164.78826,131663.1905,109756.6519,29001.31626,4696.605329,0,15496.48433,0,0,0,48791.36991,0,0,0,4449.729085,0,0,10109.66351,41507.0961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532.004512,0,25,11
15,15.944,91838.571,6.261,0.318,5.573611111,2,192356.0779,242253.6099,216198.7169,199096.9399,54757.05586,14613.52391,156555.1407,84711.72128,75644.54957,11592.79043,158513.7938,81283.37374,110561.28,41358.59218,141621.7972,63740.0481,40046.0759,160714.29,178606.2461,0,0,0,0,0,0,0,0,0,0,0,0,12308.47081,18738.47206,0,64146.15047,61535.15267,13,23
16,15.638,84735.913,6.511,0.328,12.44974227,2,0,0,0,0,7680.485802,0,13110.52592,0,0,0,31029.70337,0,0,0,11671.13768,0,0,0,16328.76274,0,0,0,0,0,1596.618174,0,4363.926918,1862.527592,0,0,0,0,1704.474677,0,0,0,27,9
17,15.753,84765.167,6.111,0.334,5.917205692,2,215707.0472,202310.0297,219205.1214,184487.8235,96277.45889,3235.415472,186999.5932,46365.71479,69655.4204,25997.04942,198467.3783,30101.13625,71608.90536,11816.33143,163939.3614,19977.0233,11485.93414,191526.6824,203596.2676,0,0,0,0,0,732.4976217,2401.063174,8126.696254,36266.62095,100223.5276,2278.666974,0,54797.6306,13247.13491,0,52077.0398,22047.1281,7,29
18,15.434,84768.5,6.534,0.346,16.47515528,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450.229221,0,0,0,0,0,0,0,0,0,35,1
19,15.555,84773.667,6.386,0.345,13.24048443,2,859.6942978,0,0,0,5919.087434,0,0,0,0,0,2999.173577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,32,4
